i-GqTVVDjJXYwXJFxbmhLeYz	Följande skrivelser hade kommit in:
i-8pAosBapG3Jss3AFKNoEjJ	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-AJ9MqFviH6xnL6jcsK9TR9	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-J6Uoetndasqt72WPpcSDJq	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-JatdmA9VvVtkGLCp6KFBFj	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-V9RCM3GLUwXMrvTgpDKFog	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-2zPdk8V3UzyWDrQwZB2DeK	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-SQBbkTi4JPVjP8utCPZoqA	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-SGfNbcQ9zYRLsDSQCn4Sju	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-6cHaVTLCt71sjCtF1tamzy	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-Gk6GMAtXuUWT9j7BaAyoDb	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-BSgQjRQa6AmjoCrXTydC3w	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-F7HPtzfaSCJHNFAs41sDcE	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-SUMK41SdgPghXEx49jToxj	Interpellationen kommer att besvaras tisdagen den 23 april 2019.
i-8XNAdBfj5xwQo18s8kcnCa	Skälet till dröjsmålet är tjänsteresor och sedan tidigare inbokade engagemang.
i-7EPFUCUDX7ywZU1Tj2N3Aa	Interpellationen kommer att besvaras fredagen den 12 april 2019.
i-XpbdrwZdT9PjH9PMN11KH4	Skälet till dröjsmålet är sedan tidigare inbokade arrangemang.
i-Vd1K1WYgXTHvWmbQ7zXXEw	Interpellationen kommer att besvaras fredagen den 12 april 2019.
i-9oCujNbVnmtGbCXndthVXx	Skälet till dröjsmålet är sedan tidigare inbokade arrangemang.
i-Wb8sVgiAiSnvRwyatAWRGL	Interpellationen kommer att besvaras fredagen den 12 april 2019.
i-KpMYRinhE9FocPHmBXCzn7	Skälet till dröjsmålet är sedan tidigare inbokade arrangemang.
i-3wQfPF8pmHjFCzWKR65bLX	Interpellationen kommer att besvaras fredagen den 26 april 2019.
i-Y6m1nzUNLMtQccU6ju8HH6	Skälet till dröjsmålet är sedan tidigare inbokade arrangemang.
i-R49BGZwuLuMqrPxHB6K3od	Fru talman! Amineh Kakabaveh har frågat mig om Sverige som egen stat avser att sända valobservatörer till Turkiet och uppmana andra länder , främst EU:s medlemsländer, att göra detsamma.
i-6XbRJeWqj4QENp9p77HydA	Interpellanten har också frågat mig vad jag avser att göra för att förmå Turkiet att frige de oppositionspolitiker från HDP, dess ledare Selahattin Demirtaş och Figen Yüksekdağ , alla borgmästare och folkvalda politiker och andra oppositionella, akademiker och intellektuella, som sitter i fängelse så att dessa kan utöva sina demokratiska rättigheter. Kakabaveh har även frågat mig vad jag avser att göra för att den inhumana isolering som Abdullah Öcalan utsätts för ska brytas.
i-SVhkp73D4okY1NjK3c6oJa	Interpellanten har också frågat mig vad jag avser att göra för att förmå Turkiet att genomföra ett demokratiskt val värt namnet.
i-2FMwUbXdiLj1MuaaZecBTV	Kakabaveh har även frågat vad jag avser att göra för att förmå Turkiet att upphöra med sitt folkrättsbrott: att ockupera staden Afrin i Rojavaprovinsen i Syrien.
i-GoTXXWxQkz46bjtBPQkgbp	Slutligen har interpellanten frågat mig vad jag avser att göra i FN och EU för att förmå president Erdoğan och den turkiska regimen att återuppta fredsförhandlingar med PKK.
i-XqXEbZjnKN4xzauYPLRggc	Jag delar förstås Amineh Kakabaveh s oro över utvecklingen i Turkiet vad gäller respekten för mänskliga rättigheter, demokrati och rättsstatens principer. Det är avgörande att de val som genomförs är fria, rättvisa och transparenta. Det gäller naturligtvis även de nyss genomförda lokalvalen i Turkiet.
i-4RuxPXD7jLe9w7fpAdSbhm	Sverige har gett betydande bidrag till valövervakningsinsatser i Turkiet, exempelvis vid folkomröstningen 2017 och förra årets parlaments- och presidentval . Det skedde framför allt inom ramen för de insatser som koordineras genom Organisationen för säkerhet och samarbete i Europa, OSSE . Vad gäller helgens lokalval har Europarådets kongress för lokala och regionala myndigheter genomfört en valobservationsinsats på inbjudan av Turkiet.
i-PbCZMxT2sZHvn1Eq6RzD3f	Fri opposition och fria , oberoende och kritiskt granskande medier är förutsättningar för ett pluralistiskt, demokratiskt samhälle. Detta framför regeringen kontinuerligt till turkiska företrädare i Stockholm, i Ankara och på andra ställen där vi möts. Även inom ramen för EU-samarbetet och i andra internationella sammanhang lyfter Sverige upp utvecklingen i Turkiet rörande mänskliga rättigheter, demokrati och rättsstatens principer .
i-RNvRstGZXMifjR3bMhG8eC	För svenska utlandsmyndigheter i Turkiet är bevakandet av rätte ­ gångar , mot bland andra fängslade folkvalda parlamentariker, journalister och akademiker, en viktig del av den diplomatiska verksamheten. Det gäl ­ ler exempel vis rättegångar som ägt rum mot de båda ledarna för opposi ­ tions partiet HDP , Figen Yüksekdağ och Selahattin Demirtaş . Sverige ver ­ kar även för att andra länder ska bevaka rättegångar för att visa solidaritet och uppmärksamma de här fallen. Vi har i olika sammanhang krävt deras frigivning.
i-MuocdoJWwgRRvSFaQQdYF5	Som framgår i Utrikesdepartementets nyligen publicerade rapport om mänskliga rättigheter, demokrati och rättsstatens principer i Turkiet har situationen i turkiska fängelser förvärrats. Europarådets kommitté för förhindrande av tortyr, CPT, besökte 2016 och 2017 ett antal av Turkiets fängelser, inklusive högsäkerhetsanstalter. CPT noterade godtagbar standard men också brister i form av långvarig isolering av dem som klassas som högsäkerhetsfångar. Sverige har i den uni versella granskningsmekanismen, UPR, inom FN:s råd för mänskliga rättigheter uppmanat Turkiet att förbättra situationen i landets fängelser.
i-Wx89s2ZM1oq6ycFm4PwCvi	Regeringen har vid upprepade tillfällen, allt sedan Turkiets militära operation påbörjades i Afrinprovinsen för mer än ett år sedan, kritiserat Turkiet för dess militära agerande. Folkrätten måste respekteras , inklusive de mänskliga rättigheterna och den internationella humanitära rätten . Det har framförts till företrädare för den turkiska regeringen vid flera tillfällen på olika nivåer, i FN:s säkerhetsråd och genom EU .
i-Hk2evtqXon87iqkzMdBTnM	Det är oroande att Turkiets relationer med kurdiska grupper fortsätter att försämras. Jag betonar ofta vikten av en återupptagen, trovärdig och inkluderande fredsprocess i Turkiet. En sådan skulle kunna leda till en positiv utveckling, inte bara för Turkiet utan för regionen i stort. Det framför vi också i våra samtal med turkiska företrädare, liksom inom EU och genom de dialoger EU har med Turkiet.
i-Vs4hAjXSD277qzgJrQaTXB	Fru talman! Tack, utrikesministern, för svaret! Jag vill också tacka för din solidaritet och för att du lyfter upp de här frågorna när det gäller såväl oppositionella politiker som HDP:s ledare och folkvalda.
i-Cn8VH1ZLVje7rZYT2MP5JU	I söndags var det lokalval i Turkiet. Trots att AKP förlorade makten i de tre stora städerna styrs landet fortfarande av den despotiske presidenten Erdo ğ an. Han har samlat all makt, såväl den lagstiftande som dömande och verkställande makten, i sina egna händer.
i-D3XgVrDzELH2GtDf8J1HPs	Mest angriper Erdo ğ an kurderna, de intellektuella och inte minst kvinnorna. Han deklarerade under valrörelsen och före lokalvalen att han inte kommer att respektera om kurderna väljer borgmästare som tillhör det prokurdiska partiet HDP. Erdo ğ an har till och med krävt att kurder som röstar på HDP ska lämna Turkiet. Han har redan avskedat 94 folkvalda borgmästare med stöd av ett dekret som kom i september 2016. Han hotar dessutom att avskeda borgmästare som i lokalvalen valts från HDP:s listor och att ersätta dem med AKP:are, från hans eget parti.
i-ACw2mzuAy9t3hG8shCtQ2z	På Erdo ğ ans order sitter 50 av de avsatta borgmästarna än i dag i fängelse. Bland dem finns Gültan Ki ş anak som är känd från staden Diyarbakir. 21 av dem har dömts till långa fängelsestraff.
i-CUBb23zjDvQrucvZRwjbpE	Inte bara borgmästare drabbas av Erdo ğ ans diktatoriska fasoner, hat och vrede. Under 2018 greps också 2 000 medlemmar i HDP. Enligt rapporter från HDP är 500 av dem fortfarande arresterade. Och 28 parlamentariska ledamöter för HDP sitter i fängelse. Det är fruktansvärt och diktatoriskt, om man tänker utifrån om Turkiet är en rättsstat eller inte.
i-U2iTdKrzZhYNVo2nch3AtB	Hundratusentals människor har blivit av med sina jobb. De har låsts in bakom galler. De är akademiker, statstjänstemän, journalister, lärare, oppositionella och så vidare. Sedan två och ett halvt år sitter också de tidigare språkrören för HDP, Selahattin Demirtaş och Figen Yüksekdağ , som utrikesministern också nämnde , i fängelse för att ha kritiserat Erdo ğ an i olika politiska tal.
i-2aNZ85ZnuAm5mFTJAySDpo	Min fråga till utrikesministern var och är fortfarande: Kommer utrikesministern att kräva frigivning av borgmästarna, som Gültan, och de före detta ledarna för HDP?
i-KuCHia11esPBFxZ1Yhg9nz	Det är viktigt att lyfta upp dessa frågor i olika samtal men också att offentligt kräva frigivning av dessa politiskt valda personer. De har inte begått brott. De har precis som vi blivit valda och ska ha rätt att tala i talarstolen.
i-U2Y21cH8LhCTbWfdec6xxC	För närvarande hungerstrejkar 5 000 politiska fångar i Turkiet för sina grundläggande mänskliga rättigheter. Tre har nyligen avlidit. Jag ställde därför också en fråga om isoleringen av fångar och särskilt Abdullah Öcalans situation i fängelset. Även här utanför riksdagen hungerstrejkar kurder. Det är viktigt att Turkiet respekterar internationella konventioner om hur man behandlar fångar.
i-W2Niqb7VCAHmtFe1MFDgZw	Fru talman! Vi är överens om det och om att utvecklingen i dagens Turkiet är mycket bekymmersam. Det är bra att det finns en bred enighet om detta i både Sveriges riksdag och EU. Det är klart att vi blir starkare om EU har en samfälld reaktion, och vill vi stödja en förändring i landet behöver Sverige och EU arbeta på bred front.
i-12SQU1Puimd8AnZztWReRf	Låt mig säga något om lokalvalet, för mångas ögon riktades mot Turkiet inför helgens lokalval. Vi minns också de synpunkter som framfördes på genomförandet av folkomröstningen 2017 och valen till parlamentet och av presidenten 2018. Dessa synpunkter framfördes av OSSE:s Kontoret för demokratiska institutioner och mänskliga rättigheter, Odihr. Spelplanen var väldigt ojämn, och det var svårt för väljare att få opartisk infor ­ mation om olika alternativ eftersom det var ett likriktat och statskontrollerat medieutbud. Flera av dessa förutsättningar kvarstod vid valen i söndags, vilket var tydligt att se.
i-UFgMkVcWUNf9AY3dxvDLW4	Valobservationsinsatser genom OSSE är en viktig del av vårt demokratistöd. En förutsättning för att Odihr ska kunna genomföra en insats är en inbjudan av det aktuella landet, men Turkiet bjöd inte in Odihr att observera lokalvalen. Däremot bjöd man in Europarådets kongress för lokala och regionala myndigheter att observera valet. Kongressen genomförde en insats som bestod av 22 internationella observatörer, och de var närvaran ­ de i landet från den 27 mars till den 1 april.
i-37YYAfDBTV4q2dXJGLrvmA	Eftersom detta var en av dina frågor tänkte jag att det var viktigt att berätta om det.
i-LbhxtwbxAGBP5xXppnzcGd	Tio grupper observerade olika valstationer runt om i landet och publicerade sedan preliminära uppgifter och slutsatser om hur valen genomfördes. Observatörerna säger att det inte är enbart det praktiska genomförandet av valdagen som avgör om val är i enlighet med Europarådets principer, utan för att uppfylla dessa principer krävs också ett robust rättsväsen, yttrandefrihet och ett pluralistiskt medielandskap samt att statens insatser inte används för att gynna bara vissa partier.
i-MgMPuUrwjCCv7tYJuBzU15	Det är tyvärr uppenbart att Turkiet inte kan garantera dessa grundläggande demokratiska rättigheter och principer.
