i-mgTSontHYWnxwpPQjFmrG	Följande dokument hänvisades till utskott:
i-5FHupPki9p9NCnXp3T38Mb	Fru talman! Lars Beckman har frågat mig v ilka åtgärder jag avser att vidta för att stärka konsumentskyddet för de konsumenter som har följt regeringens uppmaning och omvandlat förbetalda resor till vouchrar . Han har vidare frågat v ilka åtgärder jag avser att vidta för att säkerställa att de ca 1 miljon konsumenter som har köpt resor ska få sina pengar återbetalda .
i-VXGjhbHcGS7ua6icu4kbT4	Det nya coronaviruset som orsakar sjukdomen covid-19 är först och främst en fara för liv och hälsa, men det får också stora konsekvenser för samhället och ekonomin i stort. Det är inte minst en tuff situation för resebranschen och för de resenärer vars resor blir inställda.
i-XfhLKEFuyYGWKMgTQmx3vC	När det gäller den första frågan stämmer det inte att regeringen skulle ha uppmanat konsumenter att a cceptera vouchrar i stället för återbetalning i pengar för inställda paketresor . Det är inte regeringens uppgift att informera enskilda resenärer om deras rättigheter gentemot researrangörer eller att administrera resegarantisystemet. Det finns förvaltningsmyndigheter med ansvar för detta.
i-LnjUu3Xf67rWjdCozEKuj5	Konsumentverket, som bland annat har som uppgift att tillgängliggöra information och vägledning om konsumenters rättigheter och skyldighe ­ ter, har på webbplatsen för upplysningstjänsten Hallå konsument ! s edan i mars informerat om att resenäre r inte är skyldig a att acceptera värdebevis i stället för att få sina pengar tillbaka.
i-9mBhEAJyr8bEVGKEivnEbr	Kammarkollegiet, som bland annat hanterar ansökningar om ersättning ur resegarantisystemet, har på sin webbplats informerat om under vilka förutsättningar resenärer kan beviljas ersättning med anledning av rådande pandemi. Där framgår bland annat att om en paketresa ställs in av någon annan anledning än att reseaktören blivit insolvent eller gått i konkurs, eller om resenären själv avbokar resan, utgår ingen ersättning ur resegarantin.
i-YLQ5ER9gsBLy8yQTGxzXFW	Regeringen gav i maj uppdrag till Kammarkollegiet att snarast möjligt ta fram och sprida information som tydliggör om och under vilka förutsättningar vouchrar och liknande värdebevis som avser paketresor och sammanlänkade researrangemang omfattas av en ställd resegaranti. Infor ­ mationen skulle inkludera vilka möjligheter och risker det kan innebära att ha ett sådant värdebevis jämfört med ett krav på återbetalning i pengar om researrangören går i konkurs.
i-Po8Dx8p18iukKtMkmGgS6H	Kammarkollegiet har därefter, med anledning av regeringens uppdrag , förmedlat tydlig information om att värdebevis som researrangörer erbjuder till sina kunder vid inställda resor i stället för återbetalning i pengar inte omfattas av reseföretage n s resegaranti. Myndigheten anger att den som har valt a tt acceptera värdebevis i stället för återbetalning i pengar bör använda det för att boka en ny resa för att omfattas av en resegaranti.
i-Uy4waPuJwgbH6fJr2XCMfi	När det gäller den andra frågan kan först konstateras att d et finns ett långtgående konsumentskydd i samband med resor . Regelverket är i hög u tsträckning harmoniserat inom EU. Konsumentverket har ett tillsyns ­ ansvar på området och bedriver, som nämnts, även ett aktivt informations ­ arbete gentemot konsumenter. Om en resenär inte kommer överens med en researrangör om rätt till återbetalning för en paketresa kan han eller hon vända sig till Allmänna reklamationsnämnden för att få ärendet prövat. Resenären kan även vända sig till allmän domstol.
i-T7SYKw7gHwz5qXVHrbJ82D	Den nu gällande resegarantilagen, som trädde i kraft 2018, genomför ett antal bestämmelser om skydd vid obestånd i EU-direktivet om paketresor och sammanlänkade researrangemang. När reglerna infördes bedömde regeringen att det var lämpligt att utforma systemet i direkt linje med EU-direktivets krav, det vill säga på så sätt att rätt till ersättning ur resegarantisystemet ska föreligga när en resa ställs in till följd av insolvens hos arrangören. Riksdagen hade inga invändningar mot detta utan biföll propositionen.
i-GgpyRVDUkF8FQsCzgUoc6K	Det svenska resegarantisystemet är således i dagsläget ett renodlat insolvensskydd. Om reglerna för resegarantisystemet skulle ändras så att även andra situationer skulle omfattas, till exempel att resan ställs in på grund av UD:s avrådan eller att den avbokas av resenären av något skäl, skulle det innebära högre kostnader för reseaktörerna.
