i-SmAacTGFQQZUpkVFTGUZqj	Följande skrivelser hade kommit in:
i-UxNeDrjwKV2wv2zecaD5tt	Interpellationen kommer att besvaras tisdagen den 19 april 2022.
i-RL4i9z4RbW93saQ7Mkja5k	Statsrådet har inte möjlighet att besvara interpellationen inom anvisad tid på grund av redan inbokade engagemang.
i-XyFEQ5pzdHhqPRZnKDrvLX	Interpellationen kommer att besvaras tisdagen den 19 april 2022.
i-NWoSLHSJ7mq742sSMVTyAS	Statsrådet har inte möjlighet att besvara interpellationen inom anvisad tid på grund av redan inbokade engagemang.
i-W4Zndm92ZQnfRvakfoQSh9	Interpellationen kommer att besvaras tisdagen den 19 april 2022.
i-AZd8tBxev9C8hF8ngWXJ44	Statsrådet har inte möjlighet att besvara interpellationen inom anvisad tid på grund av redan inbokade engagemang.
i-D1Xxus1pr4eFrn5KSJXFVi	Interpellationen kommer inte hinna besvaras inom tidsfristen.
i-UoPT8h6XH55KdAfUedyqUJ	Skälet till dröjsmålet är andra sedan tidigare inbokade arrangemang.
i-GywshhrmmdKiRAhbPNAEgq	Interpellationen kommer att besvaras den 6 maj 2022.
i-MUutFzeifRwuB4xZwpN4AJ	Följande dokument hänvisades till utskott:
i-2JjvvFzYp44NfiYtHMQCwz	Åttaveckorsfristen för att avge ett motiverat yttrande skulle gå ut den 19 maj.
i-U8CLoXfag6rVc6Q9koQLYK	Fru talman! Amin eh Kakabaveh har frågat mig vilka åtgärder Sverige kommer att vid ta för att understödja säkerheten i och kring anstalterna i nordöstra Syrien, huruvida Sverige kommer att verka för inrättandet av en internationell domstol för fängslade IS-anhängare , om Sverige kommer att uppmärksamma Turkiets ockupation av delar av Syrien och attacker na mot den kurdiska befolkningen samt om Sverige kommer att arbeta för att Turkiet lämnar Afrin och att FN inrättar en säkerhetszon i Syrien.
i-6U81PB8eFjSKWVLDV5eaRw	J ag delar oro n över situationen i nordöstra Syrien. Det internationella samfundet står i stor tacksamhetsskuld till befolkningen och styrkorna här, som var avgörande för att bekämpa Daish.
i-6seStXPNT9btB6XKk3f5kp	A ttacken mot anstalten i januari är en tydlig indikation på att hotet från terrorismen består. Den g lobala koalitionen för att bekämpa Da i sh är fast beslut en att fortsätta stöd et till området för att besegra terrororganisationen för gott. Stöd till anstalterna som huserar misstänkta Da i shmedlemmar kommer självstyret till del via koalitionen.
i-42v2rqKoRNwTAGhbi2wxG6	Regeringen har gjort bedömningen att Sverige bäst stöder nordöstra Syrien genom insatser som tillgodose r befolkningens humanitära behov och stärker deras motståndskraft. Detta är högt prioriterade frågor för självstyret i nordöst, och insatserna behövs för att komplettera de säkerhetsinsatser som är koalitionens ansvar.
